"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2467","Register a guest with all valid details","chromium","2026-09-11","passed","2026-09-11","Event Registration","browser.spec.ts","",""
"","33","Cancel already cancelled registration","api","2026-09-11","skipped","2026-09-11","API Regression Tests > Cancellation","api.spec.ts","",""
"","1514","Show validation error for invalid email format","chromium","2026-09-11","passed","2026-09-11","Event Registration","browser.spec.ts","",""
"","1478","Show validation error for empty name","chromium","2026-09-11","passed","2026-09-11","Event Registration","browser.spec.ts","",""
"","26","Cancel using invalid token","api","2026-09-11","skipped","2026-09-11","API Regression Tests > Cancellation","api.spec.ts","",""
"","1914","Register a guest without marketing consent","webkit","2026-09-11","passed","2026-09-11","Event Registration","browser.spec.ts","",""
"","1690","Show validation error for empty name","webkit","2026-09-11","passed","2026-09-11","Event Registration","browser.spec.ts","",""
"","38","Cancel with empty token","api","2026-09-11","skipped","2026-09-11","API Regression Tests > Cancellation","api.spec.ts","",""
"","1359","Create registration when event is full","api","2026-09-11","passed","2026-09-11","API Regression Tests > Create Registration","api.spec.ts","",""
"","16","Promote waiting guest after cancellation","api","2026-09-11","skipped","2026-09-11","API Regression Tests > Cancellation","api.spec.ts","",""
"","51","Update non-existent resource","api","2026-09-11","skipped","2026-09-11","API Regression Tests > Update Registration","api.spec.ts","",""
"","1159","Retrieve valid event","api","2026-09-11","passed","2026-09-11","API Regression Tests > Retrieve Event","api.spec.ts","",""
"","1682","Show validation error for invalid email format","webkit","2026-09-11","passed","2026-09-11","Event Registration","browser.spec.ts","",""
"","21","Cancel waiting-list registration","api","2026-09-11","skipped","2026-09-11","API Regression Tests > Cancellation","api.spec.ts","",""
"","2073","Show registed details after registration","webkit","2026-09-11","passed","2026-09-11","Event Registration","browser.spec.ts","",""
"","1762","Show registed details after registration","chromium","2026-09-11","passed","2026-09-11","Event Registration","browser.spec.ts","",""
"","10","Cancel confirmed registration","api","2026-09-11","skipped","2026-09-11","API Regression Tests > Cancellation","api.spec.ts","",""
"","1498","Show validation error for empty email","chromium","2026-09-11","passed","2026-09-11","Event Registration","browser.spec.ts","",""
"","104","Create duplicate registration","api","2026-09-11","passed","2026-09-11","API Regression Tests > Create Registration","api.spec.ts","",""
"","1681","Show validation error for empty email","webkit","2026-09-11","passed","2026-09-11","Event Registration","browser.spec.ts","",""
"","2627","Register a guest with all valid details","webkit","2026-09-11","passed","2026-09-11","Event Registration","browser.spec.ts","",""
"","57","Update with invalid data","api","2026-09-11","skipped","2026-09-11","API Regression Tests > Update Registration","api.spec.ts","",""
"","1662","Register a guest without marketing consent","chromium","2026-09-11","passed","2026-09-11","Event Registration","browser.spec.ts","",""
"","10","Create registration without email","api","2026-09-11","passed","2026-09-11","API Regression Tests > Create Registration","api.spec.ts","",""
"","115","Create registration without name","api","2026-09-11","passed","2026-09-11","API Regression Tests > Create Registration","api.spec.ts","",""
"","8","Create registration for invalid event","api","2026-09-11","passed","2026-09-11","API Regression Tests > Create Registration","api.spec.ts","",""
"","8","Retrieve invalid event","api","2026-09-11","passed","2026-09-11","API Regression Tests > Retrieve Event","api.spec.ts","",""
"","8","Verify waiting-list count","api","2026-09-11","skipped","2026-09-11","API Regression Tests > Retrieve Event","api.spec.ts","",""
"","2405","Verify event availability","api","2026-09-11","passed","2026-09-11","API Regression Tests > Retrieve Event","api.spec.ts","",""
"","46","Update with valid partial data","api","2026-09-11","skipped","2026-09-11","API Regression Tests > Update Registration","api.spec.ts","",""
"","120","Create registration with invalid email","api","2026-09-11","passed","2026-09-11","API Regression Tests > Create Registration","api.spec.ts","",""
"","42","Update existing resource","api","2026-09-11","skipped","2026-09-11","API Regression Tests > Update Registration","api.spec.ts","",""
"","135","Create registration with valid data","api","2026-09-11","passed","2026-09-11","API Regression Tests > Create Registration","api.spec.ts","",""
